Type,Description,Audience,Year,Outcome
Workshop,"Third ELLIS NLP Workshop (Dagstuhl): In the scope of UTTER's objective 2, we joined this workshop to foster research on uncertainty representation in NLP",Research Communities,2022,https://www.dagstuhl.de/22474
Social Session,"First ELLIS Lisbon Unit (LUMLIS - Lisbon Unit for Learning and Intelligent Systems) Student event (Talks, Roundtables, Poster Session)",Research Communities,2023,https://lumlis.tecnico.ulisboa.pt/
Online Seminar,"Talk on ""Prompting Large Language Model for Machine Translation: A Case Study"" at IST and Unbabel seminar series",Research Communities,2023,https://ist-unbabel-seminars.github.io/
Online Seminar,"Talk on ""Recent works on speech translation at Naver Labs Europe""",Innovators & Research,2023,https://www.youtube.com/watch?v=SyJkrdF2Ed4
Seminar,Invited Talk at JSALT 2023 opening session (general public session),"National & Regional Authorities, Civil Society, Research",2023,https://umotion.univ-lemans.fr/video/9495-laurent-besacier-reflexions-sur-une-recherche-privee-en-tal-a-lere-de-gpt4/
Workshop,"Invited Talk in Rome on ""Assessing Reliability of Knowledge in LLMs""","Innovators, EU Institutions, Citizens, Research",2023,https://drive.google.com/file/d/123rVLg_XSBBXnj3ne1qyGIRrOPxM7m6U/view
Workshop,"Invited talk ""Living with Large Language Models""","Innovators, Research, Citizens",2023,NA
Workshop,"Invited talk ""Conversational AI""","Innovators, Research, Citizens",2023,NA
Seminar,"Invited talk on ""Representing uncertainty in machine learning""",Research Communities,2023,https://youtube.com/live/L24Q3xkRZeU
Panel Discussion,"From LxMLS to XLLMs (Extra Large Language Models): A discussion on the impact of LLMs on ML and NLP with contributions from Wilker Aziz (UTTER, UVA)",Research Communities,2023,NA
Public Lecture,"Public lecture on ""Decoding is deciding under uncertainty"". 2-day event (Amsterdam Lectures in Artificial Intelligence and Society) hosted at UVA; UTTER (UVA) was present to talk about decision-making under uncertainty in MT","Research, Citizens",2023,http://webpage/
Social Session,"A social session hosted by Wilker Aziz (UTTER/UVA) at the ALPS winter school. This was a remote social session with attendees of the ALPS winter school, where we discussed recent developments on text generation under uncertainty as well as a vision for this area.","Research, Citizens",2023,https://alps-2023.imag.fr/index.html
Training Event,"ALPS 2023: In the scope of objective 1, UTTER joined this event to promote basic and advanced training on modern techniques for natural language processing.","Industry, Research",2023,https://alps-2023.imag.fr/index.html
Clustering Activity,"Sploro's Cascade Funding InfoDay: In the scope of UTTER's objective 3, we joined this event to advertise our 1st FSTP call.",Industry,2023,https://sploro.eu/sploro-cascade-funding-webinar-session-four/
Workshop,"Invited talk ""Generative AI for Research""","Innovators, Research, Citizens",2023,NA
Workshop,Invited talk in M3G workshop at EAMT 2023,Innovators and Research Communities,2023,https://multi3generation.eu/workshops/eamt-2023/)
Panel Discussion,"Roundtable discussion on ""The Impact of Large Language Models (LLMs) on MT: A European view"" with the participation of André Martins (IT)",Innovators and Research Communities,2023,https://machinetranslate.org/eamt-2023
Seminar,"Seminar talk on ""Recent works on speech translation"" at Naver Labs Europe",Innovators and Research Communities,2023,https://www.youtube.com/watch?v=SyJkrdF2Ed4
Workshop,"Invited talk ""LLMs for Machine Translation""","Innovators, Research, Citizens",2024,https://www2.statmt.org/wmt23/pdf/2023.wmt-1.1.pdf
Research Talk,"Video for remote attendees of EACL 2024 paper ""Interpreting Predictive Probabilities: Model Confidence or Human Label Variation"". Poster version in-person at the conference.",Research Communities,2024,https://aclanthology.org/2024.eacl-short.24.pdf
Research Talk,"Video for remote attendees of EACL 2024 ""Predict the Next Word: <Humans exhibit uncertainty in this task and language models _____>"". In-person version at the conference.",Research Communities,2024,https://aclanthology.org/2024.eacl-short.22.pdf
Research Talk/Workshop,"Research talk on ""xCOMET and Tower: Open Multilingual LLMs for Translation and Evaluation"" at a NII Shonan Workshop on Human-Centered Machine Translation",Research Communities,2024,https://shonan.nii.ac.jp/seminars/206/
Workshop,"André Martins (IT) gave the talk ""xCOMET and Tower: Open Multilingual LLMs for Translation and Evaluation"" at ALPS 2024 - winter school co-organised by NAV/UTTER and attended by 50 students.",Innovators and Research Communities,2024,https://lig-alps.imag.fr/
Research Talk,"Invited talk by Chryssa Zerva (IT) on ""Exploring uncertainty in MT tasks with Conformal Prediction"" at Priberam Machine Learning Lunch Seminars",Research Communities,2024,http://webpage/
Workshop,ELLIS Multimodal Foundation Models Workshop. UTTER joined this workshop to foster research on uncertainty representation in natural language processing.,Civil Society,2024,https://www.ceessnoek.info/multimodal-fomo/
Seminar,Seminar talk at Cognitive Machine Learning: CoML group (ENS Paris),"EU Institutions, Research communities",2024,https://drive.google.com/file/d/1tJpuffOYZ2Yn5Y-XdtSCrsnb1u0VtI7y/view
Research Talk,Keynote by Laurent Besacier (NAV) at jep-taln2024 : JEP TALN RECITAL 2024 (Toulouse),Research Communities,2024,https://jep-taln2024.sciencesconf.org/data/pages/mercredi.pdf
Seminar,Seminar talk at NLP group at IT Copenhagen,Research Communities,2024,NA
Workshop,"Talk at the Workshop on Foundation Models and LLMs, organised by the Center for Responsible AI",EU Institutions and Research communities,2024,https://www.eventbrite.com/e/foundation-models-and-llms-workshop-in-person-only-tickets-942081480067?aff=oddtdtcreator&utm_campaign=post_publish&utm_medium=email&utm_source=eventbrite&utm_content=shortLinkNewEmail
Research Talk,"Participation at WMT 2024 with an Invited Talk by Ricardo Rei and Nuno M. Guerreiro (UNB): ""What Makes MT Research Special in the LLM Age?""",Research Communities,2024,https://www2.statmt.org/wmt24/program.html
Research Talk,"André Martins (IT) Invited Talk at NVIDIA GTC Paris 2025, session ""Building and Customizing AI Models for European Applications: From Foundation to Fine-Tuning"" -- presented EuroLLM and Tower","EU Institutions, Innovators and Research Communities",2025,https://www.nvidia.com/en-eu/gtc/session-catalog/?tab.allsessions=1700692987788001F1cG&search=martins
Research Talk,André Martins (IT) Invited Talk at International Open-Source LLM Builders Summit (Geneva) organized by Swiss AI -- presented EuroLLM and Tower,"EU Institutions, Innovators and Research Communities",2025,https://luma.com/pfjxc8v9
Training Event,ETAL 2025 - Laurent Besacier (NAV) Invited Speaker at ETAL 2025 French Summer School on NLP,Research Communities,2025,https://github.com/besacier/ETAL2025
Training Event,"Alexandra Birch (UEDIN) Invited Talk on ""Multilingual Large Language Models"" at ALPS Winter School ((winter school co-organised by NAV/UTTER)",Research Communities,2025,http://alps-2025.imag.fr/index.php/schedule/index.html
Seminar,"Alexandra Birch keynote on ""Robust Multilingual NLP"" at ELLIS Doctoral Symposium",Research Communities,2025,https://eds2025.pl/
Shared Task,"UTTER participated in advancing research on speech LLMS by proposing 2 systems to the instruction-following shared task, one of which reached the best multilingual SQA scores from all the submissions.",Research Communities,2025,https://www.linkedin.com/posts/he-utter_iwslt2025-speechllm-multilingualai-activity-7358035492346470402-eVmA?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAwCxLUBYJuKCDiC2nxU6P_FWdAqjkH9Xa0
Hackathon,"UTTER's Wilker Aziz (UvA) led a class on Decoding Algorithms, while Bryan Eikema (UvA) hosted a hands-on lab on the topic using EuroLLM. Jacqueline Rowe (UEDIN) presented a poster on the WMT Creole translation shared task.",Research Communities,2025,https://www.helsinki.fi/fi/unitube/video/c2de94e0-6899-4897-b30d-5a118e69798f
,,,,https://www.linkedin.com/posts/he-utter_mtmarathon2025-genderbias-eurollm-activity-7368643590627008512-IYRZ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAwCxLUBYJuKCDiC2nxU6P_FWdAqjkH9Xa0
